City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Guerrero Negro,MX,2021-05-31 16:12:37,27.9769,-114.0611,64.38,65,2,9.46,clear sky
87,Labuhan,ID,2021-05-31 16:14:35,-6.8844,112.2051,78.35,87,95,5.32,overcast clouds
88,Trairi,BR,2021-05-31 16:11:27,-3.2778,-39.2689,87.42,57,29,10.6,scattered clouds
89,Rehoboth,NA,2021-05-31 16:14:36,-23.3167,17.0833,68.22,14,0,7.58,clear sky
90,Busselton,AU,2021-05-31 16:11:29,-33.65,115.3333,51.08,85,98,5.86,overcast clouds
91,Ponta Do Sol,PT,2021-05-31 16:11:18,32.6667,-17.1,70.43,73,58,2.35,broken clouds
92,Bonavista,CA,2021-05-31 16:14:36,48.6499,-53.1147,51.85,61,95,14.16,overcast clouds
93,Kaitangata,NZ,2021-05-31 16:12:33,-46.2817,169.8464,46.92,85,95,6.17,overcast clouds
94,Hobart,AU,2021-05-31 16:11:21,-42.8794,147.3294,47.05,74,100,3.0,overcast clouds
95,Katsuura,JP,2021-05-31 16:11:11,35.1333,140.3,67.19,83,53,4.54,broken clouds
96,Vaini,TO,2021-05-31 16:11:12,-21.2,-175.2,71.76,88,90,5.75,light rain
97,Bluff,NZ,2021-05-31 16:11:24,-46.6,168.3333,49.8,67,86,6.55,overcast clouds
98,Anshun,CN,2021-05-31 16:14:38,26.25,105.9333,64.15,92,100,5.39,light rain
99,Hudson Bay,CA,2021-05-31 16:14:38,52.85,-102.3842,68.5,30,73,10.8,broken clouds
100,Seymchan,RU,2021-05-31 16:14:38,62.8833,152.4333,41.56,83,67,5.08,broken clouds
101,Mar Del Plata,AR,2021-05-31 16:09:26,-38.0023,-57.5575,60.1,34,35,1.01,light rain
102,Souillac,MU,2021-05-31 16:12:00,-20.5167,57.5167,73.36,76,0,8.52,clear sky
103,Khatanga,RU,2021-05-31 16:11:02,71.9667,102.5,34.38,99,100,7.25,moderate rain
104,Hun,LY,2021-05-31 16:14:39,29.1268,15.9477,96.12,15,4,6.15,clear sky
105,Avarua,CK,2021-05-31 16:12:38,-21.2078,-159.775,66.25,82,70,3.44,broken clouds
106,Georgetown,MY,2021-05-31 16:10:52,5.4112,100.3354,85.95,76,20,0.92,few clouds
107,Henties Bay,NA,2021-05-31 16:14:40,-22.116,14.2845,62.85,72,1,13.91,clear sky
108,Sioux Lookout,CA,2021-05-31 16:14:40,50.1001,-91.917,65.28,42,2,5.7,clear sky
109,Bahir Dar,ET,2021-05-31 16:14:41,11.5936,37.3908,79.45,32,39,7.11,scattered clouds
110,Hithadhoo,MV,2021-05-31 16:12:25,-0.6,73.0833,84.09,70,86,16.33,overcast clouds
111,Kozan,TR,2021-05-31 16:14:41,37.4552,35.8157,83.3,27,8,12.64,clear sky
112,Jizan,SA,2021-05-31 16:14:42,17.3333,42.6667,93.9,47,3,6.26,clear sky
113,Tasiilaq,GL,2021-05-31 16:11:22,65.6145,-37.6368,41.16,80,12,8.9,few clouds
114,Bystrzyca Klodzka,PL,2021-05-31 16:14:42,50.3018,16.6423,58.86,69,81,9.42,broken clouds
115,Tateyama,JP,2021-05-31 16:14:43,34.9833,139.8667,67.1,80,31,3.44,scattered clouds
116,Abeche,TD,2021-05-31 16:12:18,13.8292,20.8324,105.87,10,19,9.1,few clouds
117,Vostok,RU,2021-05-31 16:14:43,46.4856,135.8833,43.11,93,67,3.83,broken clouds
