City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Fairbanks,US,2021-05-31 02:15:01,64.8378,-147.7164,69.49,35,40,9.22
100,Lewistown,US,2021-05-31 02:19:52,40.5992,-77.5714,52.57,81,90,0.0
101,Klaksvik,FO,2021-05-31 02:19:53,62.2266,-6.589,50.92,92,4,19.35
102,Tasiilaq,GL,2021-05-31 02:19:53,65.6145,-37.6368,35.76,96,94,3.78
103,Busselton,AU,2021-05-31 02:19:53,-33.65,115.3333,57.09,64,100,13.76
104,Victoria,HK,2021-05-31 02:19:54,22.2855,114.1577,88.97,87,100,1.01
105,Motygino,RU,2021-05-31 02:19:54,58.1831,94.7592,51.87,50,38,2.1
106,Narsaq,GL,2021-05-31 02:19:54,60.9167,-46.05,43.02,69,11,2.48
107,Marawi,PH,2021-05-31 02:19:55,7.9986,124.2928,69.66,83,100,1.1
108,Arraial Do Cabo,BR,2021-05-31 02:19:55,-22.9661,-42.0278,73.6,87,100,10.71
109,Caravelas,BR,2021-05-31 02:19:55,-17.7125,-39.2481,73.71,87,42,5.57
110,Kapaa,US,2021-05-31 02:19:56,22.0752,-159.319,83.19,63,75,1.01
111,Lavrentiya,RU,2021-05-31 02:19:56,65.5833,-171.0,38.8,69,93,12.33
112,Qaanaaq,GL,2021-05-31 02:19:57,77.484,-69.3632,29.03,93,100,4.25
113,New Norfolk,AU,2021-05-31 02:19:57,-42.7826,147.0587,52.92,49,89,3.24
114,Puerto Ayora,EC,2021-05-31 02:15:06,-0.7393,-90.3518,73.54,86,3,5.99
115,Lasa,IT,2021-05-31 02:19:57,46.6166,10.7002,50.88,82,20,1.68
116,Chepareria,KE,2021-05-31 02:19:58,1.3077,35.2039,58.96,86,97,4.92
117,Airai,TL,2021-05-31 02:19:58,-8.9266,125.4092,71.67,56,100,1.54
118,Logan Lake,CA,2021-05-31 02:19:58,50.4998,-120.8025,64.24,41,75,6.96
119,Ambilobe,MG,2021-05-31 02:19:59,-13.2,49.05,68.5,90,5,3.47
120,Pevek,RU,2021-05-31 02:19:59,69.7008,170.3133,39.54,68,22,4.97
121,Makhinjauri,GE,2021-05-31 02:16:15,41.6739,41.694,60.66,77,0,5.21
122,Hasaki,JP,2021-05-31 02:20:00,35.7333,140.8333,75.18,60,0,11.12
