City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Acarau,BR,87.01,few clouds,-2.8856,-40.12,castelo pizzaria
501,Montes Altos,BR,91.89,clear sky,-5.8333,-47.0667,Hotel e Restaurante Manaaim
502,Benguela,AO,81.68,clear sky,-12.5763,13.4055,Hotel Praia Morena
507,Bonfim,BR,85.84,broken clouds,3.0833,-59.95,
510,Ciudad Guayana,VE,84.52,broken clouds,8.3533,-62.6528,Hotel Las Americas
516,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
521,Santander Jimenez,MX,88.39,broken clouds,24.2167,-98.4667,Papas inc
531,Akalkot,IN,84.09,overcast clouds,17.5333,76.2167,Hotel Vikas
535,Ardakan,IR,97.18,clear sky,32.31,54.0175,Ardakan Hotel
536,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
541,Axim,GH,81.0,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
545,Savannah Bight,HN,91.45,clear sky,16.45,-85.85,Villa on Dunbar Rock
549,Gazli,UZ,97.61,scattered clouds,40.1333,63.45,
550,Diamantino,BR,88.79,broken clouds,-14.4086,-56.4461,Hotel Delta
552,Colombo,LK,81.21,overcast clouds,6.9319,79.8478,Galle Face Hotel
555,Najran,SA,89.28,clear sky,17.4924,44.1277,محمد هادي ال فطيح
556,Tamiami,US,89.6,scattered clouds,25.7587,-80.3984,University Lakes
565,South Venice,US,89.17,haze,27.0531,-82.4243,Rodeway Inn
567,Monzon,ES,87.44,overcast clouds,41.9108,0.1941,Hotel Masmonzón
569,Sabzevar,IR,91.76,few clouds,36.2126,57.6819,پزشکی قانونی سبزوار
570,Rong Kwang,TH,85.55,overcast clouds,18.339000000000002,100.3174,Rong Kwang Hotel
572,Puerto Escondido,MX,88.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
576,Tuy Hoa,VN,82.89,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
578,Key West,US,86.0,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
588,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
594,Marang,MY,80.51,scattered clouds,5.2056,103.2059,DBarakah Homestay
595,Penalva,BR,89.33,clear sky,-3.2942,-45.1736,Hotel São José
605,Junagarh,IN,94.3,overcast clouds,19.8667,82.9333,Hotel Swagat
607,Baikunthpur,IN,90.84,broken clouds,23.25,82.55,Hotel Shree Annpurna inn
611,Cururupu,BR,89.92,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
614,Coahuayana,MX,92.68,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
619,Russas,BR,94.48,few clouds,-4.9403,-37.9758,Veredas do Vale Hotel
641,Brazzaville,CG,91.9,few clouds,-4.2658,15.2832,Hotel Murex
643,Porto Novo,BJ,87.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
647,Banda Aceh,ID,80.15,overcast clouds,5.5577,95.3222,Sulthan Hotel International
650,Bayshore Gardens,US,90.1,broken clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
651,Gaoual,GN,92.62,overcast clouds,11.75,-13.2,Hotel koliba
654,San Ramon,US,81.81,clear sky,37.7799,-121.978,San Ramon Marriott
655,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
658,Malakal,SS,93.81,broken clouds,9.5334,31.6605,Nile Palace Hotel
659,Coromandel,BR,82.11,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
660,Puro,PH,83.41,overcast clouds,12.4841,123.3827,
661,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
663,Lufilufi,WS,82.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
667,San Jose,US,81.25,few clouds,37.3394,-121.895,The Westin San Jose
668,Houma,US,84.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
674,Corrente,BR,92.66,few clouds,-3.7367,-43.3394,Chapadinhense Hotel
675,Camocim,BR,88.38,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
677,Perigueux,FR,83.77,few clouds,45.1833,0.7167,Hôtel Mercure Périgueux Centre
682,Lhokseumawe,ID,80.46,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
686,Dalmau,IN,95.47,scattered clouds,26.0667,81.0333,Tripathi Hotel
691,Dawei,MM,80.33,few clouds,14.0833,98.2,Hotel Dawei
693,Jati,PK,86.25,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
694,Gizo,SB,80.85,light rain,-8.103,156.8419,Imagination Island
695,Santa Rosa,PH,85.98,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
700,Ebejico,CO,82.62,broken clouds,6.3260000000000005,-75.7683,HOTEL HEVEXICO
